2021-09-17 17:37:03,060 INFO LOADING MODEL : /Users/han/python-shogi/checkpoint/base/base_pv
2021-09-17 17:37:56,934 INFO LOADING MODEL : /Users/han/python-shogi/checkpoint/base/base_pv
2021-09-17 17:39:15,840 INFO LOADING MODEL : /Users/han/python-shogi/checkpoint/base/base_pv
2021-09-17 17:39:15,902 INFO epoch = 2, iteration = 0, loss_policy = 10.895931243896484, loss_value = 0.7922677993774414, loss = 11.688199043273926, accuracy = 0.0, 1.0
2021-09-17 17:39:15,945 INFO epoch = 2, iteration = 0, loss_policy = 11.972527503967285, loss_value = 0.7040418386459351, loss = 12.676568984985352, accuracy = 0.0, 1.0
2021-09-17 17:39:15,987 INFO epoch = 2, iteration = 0, loss_policy = 12.247309684753418, loss_value = 0.6144030094146729, loss = 12.861712455749512, accuracy = 0.0, 1.0
2021-09-17 17:39:16,028 INFO epoch = 2, iteration = 0, loss_policy = 1.9581712484359741, loss_value = 0.6501871347427368, loss = 2.608358383178711, accuracy = 0.0, 1.0
2021-09-17 17:39:16,068 INFO epoch = 2, iteration = 0, loss_policy = 0.6015582084655762, loss_value = 0.6943345665931702, loss = 1.2958927154541016, accuracy = 0.0, 0.0
2021-09-17 17:39:16,104 INFO epoch = 2, iteration = 0, loss_policy = 0.046912115067243576, loss_value = 0.6520938873291016, loss = 0.6990060210227966, accuracy = 0.0, 1.0
2021-09-17 17:39:16,163 INFO epoch = 2, iteration = 0, loss_policy = 1.7651846408843994, loss_value = 0.7237909436225891, loss = 2.4889755249023438, accuracy = 1.0, 1.0
2021-09-17 17:39:16,192 INFO epoch = 2, iteration = 0, loss_policy = 11.174532890319824, loss_value = 0.689150333404541, loss = 11.863683700561523, accuracy = 0.0, 1.0
2021-09-17 17:39:16,223 INFO epoch = 2, iteration = 0, loss_policy = 10.215277671813965, loss_value = 0.7311685085296631, loss = 10.946446418762207, accuracy = 0.0, 1.0
2021-09-17 17:39:16,274 INFO epoch = 2, iteration = 0, loss_policy = 2.0577008724212646, loss_value = 0.6676764488220215, loss = 2.725377321243286, accuracy = 1.0, 0.0
2021-09-17 17:39:16,319 INFO epoch = 2, iteration = 0, loss_policy = 11.02053451538086, loss_value = 0.6646518111228943, loss = 11.685186386108398, accuracy = 0.0, 1.0
2021-09-17 17:39:16,389 INFO epoch = 2, iteration = 0, loss_policy = 12.458492279052734, loss_value = 0.745120108127594, loss = 13.203612327575684, accuracy = 0.0, 0.0
2021-09-17 17:39:16,445 INFO epoch = 2, iteration = 0, loss_policy = 0.058453500270843506, loss_value = 0.7342259883880615, loss = 0.792679488658905, accuracy = 0.0, 1.0
2021-09-17 17:39:16,490 INFO epoch = 2, iteration = 0, loss_policy = 1.285212755203247, loss_value = 0.6845436692237854, loss = 1.9697563648223877, accuracy = 0.0, 0.0
2021-09-17 17:39:16,528 INFO epoch = 2, iteration = 0, loss_policy = 22.907506942749023, loss_value = 0.6873245239257812, loss = 23.594831466674805, accuracy = 0.0, 1.0
